organisationunitid,organisationunitname,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26,burden_category,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Net cohort_HEI_24 months HV02-50,transmission_rate
qc3yUukscvt,Olenguruone Sub County Hospital,10.0,High,2.0,3.0,7.0,28.57142857142857
nN3Po5pIV4t,Oljabet Health Centre,3.0,Low/Moderate,,4.0,4.0,
QaCEAVVfwZE,Olmekenyu Health Centre,10.0,High,,2.0,2.0,
dxZgFuOryf4,Olmoran Health Centre,3.0,Low/Moderate,,1.0,2.0,
xGTMrXGuKGB,Ololulunga Sub County Hospital,13.0,Very High,,6.0,7.0,
a6ZP7RjG0JA,Olps Clinic,14.0,Very High,,7.0,10.0,
fC39oEywEQk,Ombek Health Centre,1.0,Low/Moderate,,4.0,5.0,
OWLIOQ1qkOt,Omboga Health Centre,5.0,Low/Moderate,,13.0,13.0,
p6QLmTAlmyU,Onding Dispensary,2.0,Low/Moderate,,1.0,1.0,
Uvv85m35TMs,Ondong Dispensary,5.0,Low/Moderate,,1.0,3.0,
ttfohow6fXP,Oneno Health Centre,1.0,Low/Moderate,,2.0,2.0,
RW8fKrzu1Ka,Ong'ielo Model Health Centre,8.0,High,,13.0,13.0,
nTGZm5lNyzY,Ongata Rongai Sub County Hospital,44.0,Critical,1.0,22.0,24.0,4.166666666666666
pS72TtLnCvM,Ongito Dispensary,1.0,Low/Moderate,,5.0,7.0,
ImG6wgclN06,Ongo Sub County Hospital,6.0,High,,9.0,9.0,
OlwzlLibvzd,Onyuongo Dispensary,5.0,Low/Moderate,,2.0,2.0,
zeG49V2oKJ1,Opapla Health Centre,1.0,Low/Moderate,1.0,4.0,5.0,20.0
mC9U2woN9J3,Oresi Sub County Hospital,28.0,Severe,,17.0,18.0,
