organisationunitid,organisationunitname,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26,burden_category,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Net cohort_HEI_24 months HV02-50,transmission_rate
kgwPDqMydjo,Ishiara Sub-County Hospital,4.0,Low/Moderate,,2.0,2.0,
xbZUlr9VgCK,Isinet Health Centre,17.0,Very High,,2.0,3.0,
zDGztuhkhx7,Isinya Health Centre,25.0,Severe,,11.0,11.0,
Q5AJ6hof4bq,Iten County Referral Hospital,6.0,High,,5.0,7.0,
w6so9GSaap0,Ithanga Health Centre,12.0,Very High,,7.0,7.0,
TK5G8AnqHxV,Itibo Eramani Dispensary,1.0,Low/Moderate,1.0,,1.0,100.0
oCSNlBnL6p2,Iyabe Sub County Hospital,13.0,Very High,,4.0,4.0,
FvG8gxqqOvf,Jamaa Mission Hospital,2.0,Low/Moderate,,4.0,4.0,
IPuJB69xbia,Jamia Medical Centre,2.0,Low/Moderate,,1.0,1.0,
UZlFjPJGpjz,Jaramogi Oginga Odinga Teaching & Referral Hospital,89.0,Critical,3.0,70.0,84.0,3.571428571428571
JM72QVwNQhk,Jera Dispensary,1.0,Low/Moderate,,6.0,6.0,
XN6yIZhe3bj,Jericho Health Centre,10.0,High,,10.0,11.0,
tH4jWfv5j99,Jerusalem Dispensary,1.0,Low/Moderate,,3.0,3.0,
naa6PTuNZM4,Jevros Clinic,1.0,Low/Moderate,,2.0,2.0,
INawALMkXAS,JKUAT Hospital,1.0,Low/Moderate,,2.0,2.0,
SiFad15yKhZ,JM Kariuki Memorial County Referral Hospital,18.0,Very High,,15.0,19.0,
MP8fPGLlphd,Jomvu Model Health Centre,14.0,Very High,,6.0,6.0,
s660dO8z7o6,Juja Farm Health Centre,7.0,High,,2.0,2.0,
y0kyyERURWh,Jumuia Mission Hospital Kaimosi,12.0,Very High,,8.0,8.0,
lR6W5tK8hAq,Junda Dispensary,13.0,Very High,1.0,,2.0,50.0
l6jqUUJvImb,Kabarak Health Centre,9.0,High,,3.0,3.0,
ciJFdty24Uw,Kabatini Health Centre,3.0,Low/Moderate,1.0,1.0,2.0,50.0
KmYG2XJfp6W,Kabianga Health Centre,7.0,High,,2.0,2.0,
Zzn7r9ALZIk,Kabiemit Health Centre (Mosop),1.0,Low/Moderate,,1.0,2.0,
XzKZTSICokw,Kabiyet Sub County Hospital,3.0,Low/Moderate,1.0,3.0,4.0,25.0
IpxTP5z54Zq,Kaborom Dispensary,1.0,Low/Moderate,,1.0,2.0,
OOXFr1NfIlA,Kabuchai Health Centre,6.0,High,,1.0,1.0,
S1i3cmxCbgX,Kabula Health Centre,8.0,High,,7.0,7.0,
FeUHA7ixSA6,Kabura Uhuyi Dispensary,2.0,Low/Moderate,,3.0,3.0,
WLvYlxbdgy7,Kabutii-Matiret Dispensary,18.0,Very High,,13.0,14.0,
wUI5w5hVFXn,Kachuth Health Center,1.0,Low/Moderate,,7.0,7.0,
Z7ruKy2DyTa,Kadem Tb & Leprosy Dispensary,17.0,Very High,,16.0,17.0,
iAuQRWVoRpK,Kadenge Ratuoro Health Centre,3.0,Low/Moderate,,8.0,8.0,
i6oyLBSxWfZ,Kadhola Health Center,7.0,High,,12.0,12.0,
My0xFBJaM5c,Kadinda Health Centre,2.0,Low/Moderate,,9.0,9.0,
k1gDvwc81yh,Kadzinuni Dispensary,5.0,Low/Moderate,,1.0,1.0,
BuKsUiPIIkt,Kagaa Health Centre,1.0,Low/Moderate,,1.0,1.0,
CUCTqzLEY0L,Kager Dispensary,1.0,Low/Moderate,,5.0,5.0,
UUbhK0ZeTTz,Kagio Catholic Dispensary (Mary Immucate Catholic Dispensary),1.0,Low/Moderate,,3.0,3.0,
L3Cj0eucYCp,Kagumo Health Centre,2.0,Low/Moderate,,2.0,2.0,
T9MIrcv0VeS,Kagwa Health Centre,2.0,Low/Moderate,,5.0,5.0,
dtRiIn99llQ,Kahawa West Health Centre,18.0,Very High,1.0,13.0,16.0,6.25
q6NwSRm7CoV,Kahembe Health Centre,1.0,Low/Moderate,,1.0,1.0,
xNQuM1wTWrJ,Kaiboi Mission Health Centre,4.0,Low/Moderate,1.0,2.0,3.0,33.33333333333333
LBDUxvoZSdI,Kaikor Sub County Hospital,3.0,Low/Moderate,,2.0,2.0,
lkXTcVtB8kE,Kainuk Health Centre,2.0,Low/Moderate,,1.0,1.0,
tGLKciw2MGf,Kajiado County Referral Hospital,34.0,Severe,,6.0,10.0,
Hz3BwMUktOJ,Kakamega County General Hospital,37.0,Severe,,19.0,20.0,
kWzAmRGUHal,Kakamega Forest Dispensary,2.0,Low/Moderate,,1.0,1.0,
RUhEEE3keZi,Kakeani Health Centre,2.0,Low/Moderate,,1.0,1.0,
Wj1gBKsF1lB,Kakuma Mission Hospital,12.0,Very High,,5.0,7.0,
yFeGs5Liwzi,Kalawa Sub County Hospital,9.0,High,,3.0,5.0,
JeuBdNUUREJ,Kalimoni Mission Hospital (Juja),4.0,Low/Moderate,,4.0,4.0,
N636nMR9Hsh,Kalokol (AIC) Health Centre,10.0,High,,2.0,5.0,
h30PQ7TRRWD,Kaloleni Dispensary,17.0,Very High,,3.0,4.0,
xhfTwAI9TDu,Kalulini Health Centre (Kibwezi),4.0,Low/Moderate,,3.0,3.0,
SaC88wqvxMt,Kaluo Health Centre,5.0,Low/Moderate,,11.0,11.0,
cgGKqOQ5YLB,Kambajo Dispensary,7.0,High,,10.0,10.0,
BEJQPDKe2Mo,Kambare Dispensary,3.0,Low/Moderate,,4.0,4.0,
Qv92hTqycLz,Kambi Ya Waya Dispensary,2.0,Low/Moderate,,3.0,3.0,
QUEf4kJAS00,Kambu Catholic Dispensary,3.0,Low/Moderate,,3.0,3.0,
ec7ckAJP9J8,Kambu Sub County Hospital,13.0,Very High,,4.0,4.0,
NGH1by3UZpG,Kamiti Prison Hospital,24.0,Severe,,2.0,3.0,
ZAIMQkZn08B,Kamolo Dispensary,2.0,Low/Moderate,,1.0,1.0,
BpupuJNnQGM,Kamukuywa Dispensary,6.0,High,,6.0,7.0,
oT7VzeRbscK,Kamutei Health Centre,1.0,Low/Moderate,,1.0,1.0,
JW0Lexz7zKS,Kanamai Health Care,3.0,Low/Moderate,,5.0,5.0,
VdAAkjhq6Fk,Kandara sub county hospital,9.0,High,,3.0,3.0,
xAqqRiXjUW3,Kandiege Sub-District Hospital,2.0,Low/Moderate,,6.0,6.0,
hxBXSpghyOY,Kangaita Health Centre,1.0,Low/Moderate,,2.0,2.0,
Lpc3U99ALpL,Kangari Health Centre,3.0,Low/Moderate,,1.0,1.0,
RmX34fyMVB3,Kangema Sub-County Hospital,8.0,High,,3.0,3.0,
y42Usl6TdyJ,Kangemi Health Centre,35.0,Severe,1.0,20.0,31.0,3.225806451612903
HOt2sRVZXbG,Kangu Dispensary,5.0,Low/Moderate,1.0,,1.0,100.0
F9IW97vowsp,Kangundo Sub county Hospital,27.0,Severe,,10.0,10.0,
R43KcJMZGP3,Kaningo Health Centre,3.0,Low/Moderate,,,1.0,
OhVOBYmtprM,Kanyagwal Dispensary,4.0,Low/Moderate,,7.0,7.0,
fKR3N7cmgQl,Kanyakine Sub County Hospital,10.0,High,3.0,5.0,9.0,33.33333333333333
lYQGgd4vdRL,Kanyangi Sub County Hospital,7.0,High,,1.0,1.0,
zUR10GhV7xz,Kanyenyaini Health Centre,3.0,Low/Moderate,,1.0,1.0,
pKwQQQX1kLw,Kanziku Health Centre,2.0,Low/Moderate,,1.0,1.0,
nw9YVA9Tx6R,Kapiyo Health Centre,5.0,Low/Moderate,,9.0,9.0,
cqhuJyqvQEI,Kapkangani Health Centre,7.0,High,,1.0,3.0,
xq0lRpKYnEm,Kapkateny Dispensary,4.0,Low/Moderate,,1.0,1.0,
GOhRziVaDUw,Kapkatet Sub County Hospital,37.0,Severe,,18.0,18.0,
O7dzFmz0Df7,Kapkoi Health Center,8.0,High,,4.0,6.0,
SofFIp5ILCw,Kapkoros Sub-county hospital,10.0,High,,6.0,6.0,
BsRAEfmFfM3,Kapkures Health Centre (Nakuru west),6.0,High,,4.0,8.0,
DZ6jQqCN4Zo,Kaplamai Health Centre,9.0,High,,3.0,3.0,
Epg5CqAuaHn,Kaplong Hospital,9.0,High,,6.0,6.0,
CCtjKGD19ba,Kapsabet County Referral Hospital,23.0,Severe,,15.0,40.0,
P4bWQeI57XU,Kapsara Sub County Hospital,12.0,Very High,1.0,1.0,4.0,25.0
i8iYlkT3T2S,Kapsisiywo Dispensary,1.0,Low/Moderate,,1.0,3.0,
T4xwbinQdKG,Kapsitwet Dispensary,9.0,High,,2.0,2.0,
pIRUamww2Tr,Kaptama Health Centre,10.0,High,,1.0,1.0,
hqiyXj3Cfxz,Kaptech Dispensary,3.0,Low/Moderate,,1.0,3.0,
x7ruP7fXiZQ,Kapteren Health Centre,4.0,Low/Moderate,,,1.0,
u1GwmEW9bNo,Kaptumo Sub-County Hospital,2.0,Low/Moderate,,,8.0,
QMdjmr0246S,Karagita Health Centre,9.0,High,,12.0,12.0,
bLeCBUFM3wP,Karatina Sub-county Hospital,13.0,Very High,,16.0,19.0,
vzZ53lAMdJp,Karatu level 4 hospital,2.0,Low/Moderate,2.0,,3.0,66.66666666666666
T0QCTzRDCcr,Karen Health Centre,9.0,High,,12.0,13.0,
Waoec9qt8ol,Karima Health Centre,9.0,High,,,1.0,
EEKdchSCqh9,Kariobangi EDARP,17.0,Very High,1.0,12.0,16.0,6.25
iBcBmbBexUS,Kariobangi Health Centre,26.0,Severe,,19.0,20.0,
tlOLq1sNrig,Kariobangi South Dispensary,6.0,High,,5.0,6.0,
g653XuQUVyj,Karumandi Health Centre,2.0,Low/Moderate,,1.0,1.0,
NRf14PUD9xc,Karungu Sub-County Hospital,21.0,Severe,,25.0,25.0,
Pa9tT2RsExD,Karuoth Dispensary,5.0,Low/Moderate,,7.0,7.0,
JQnQJCpt8av,Karura Health Centre,11.0,High,,2.0,2.0,
zYFy90m10i1,Karuri Level 4 Hospital,15.0,Very High,1.0,9.0,12.0,8.333333333333332
oaUZAfsPmoJ,Karurumo Rhtc,6.0,High,,2.0,3.0,
tgcsqKSppEP,Kasaala Health Centre,1.0,Low/Moderate,,1.0,1.0,
FGeEpfWlpMJ,Kasarani Health Centre,16.0,Very High,,10.0,13.0,
GJda6nR1YiA,Kasigau Rdch,1.0,Low/Moderate,,1.0,1.0,
D1sNaKhXlyS,Kasongo Dispensary,4.0,Low/Moderate,,2.0,2.0,
GPXXnUS62UB,Katangi Health Centre,13.0,Very High,,2.0,3.0,
p6OOqwGbiA0,Kathiani Sub County Hospital,8.0,High,,4.0,4.0,
G9Fbh4fc5zU,Kathonzweni Health Centre,8.0,High,,1.0,1.0,
BAtfedDlU9v,Katilini Health Centre,1.0,Low/Moderate,1.0,,2.0,50.0
LXsaR9BQim1,Katilu Sub County Hospital,2.0,Low/Moderate,,3.0,4.0,
jlWXLaZNtbr,Katito Sub County Hospital,12.0,Very High,,26.0,26.0,
CZEFya4R7Q9,Katolo-Manyatta Dispensary,2.0,Low/Moderate,,2.0,2.0,
VgkdbpChtIJ,Katulani Sub County Hospital (Kitui),8.0,High,,3.0,4.0,
AP3Z7jKwro7,Kauma Health Centre (Rachuonyo),4.0,Low/Moderate,,7.0,7.0,
nLISoUBRUAF,Kauwi Sub County Hospital,15.0,Very High,,2.0,2.0,
P3f1rMxZYHL,Kaviani Health Centre,2.0,Low/Moderate,,2.0,2.0,
lCVPvilzEK3,Kayaya Dispensary,2.0,Low/Moderate,,1.0,3.0,
wWnSMqLNWOk,Kayole I Health Centre,27.0,Severe,1.0,16.0,24.0,4.166666666666666
xvrQsmtAQsS,Kayole II Sub County Hospital,35.0,Severe,,34.0,44.0,
W9Yb3HlYhsB,Kedowa Dispensary,9.0,High,,1.0,1.0,
KvnMTF9ACOd,Kegogi Health Centre,3.0,Low/Moderate,1.0,2.0,3.0,33.33333333333333
X2FnCxPnyEH,Kegondi Health Centre,11.0,High,,1.0,1.0,
NoZjHcIDHGW,Kegonga Sub County Hospital,3.0,Low/Moderate,,2.0,2.0,
dwu3NQizNkT,Kehancha Sub-County Hospital,15.0,Very High,,7.0,10.0,
ide1oUojpWU,Kemri VCT,1.0,Low/Moderate,,1.0,1.0,
EhJ2SBfPRSW,Kendu Adventist Hospital,18.0,Very High,,30.0,30.0,
lobiB7sMHcN,Kendu Sub-District Hospital,18.0,Very High,,10.0,10.0,
brSpidcNdoF,Kenyambi Health Centre (Nyamira),2.0,Low/Moderate,,1.0,1.0,
ZWwPSTkiLWX,Kenyatta National Hospital,123.0,Critical,,33.0,36.0,
tKlvNnIuqxp,Kenyatta University Dispensary,2.0,Low/Moderate,,,1.0,
B6t2Uc0FqSP,Kenyenya Health Centre (Nyamira),1.0,Low/Moderate,,1.0,1.0,
a1KIkjd2PRa,Kenyenya Sub County Referral Hospital,4.0,Low/Moderate,1.0,7.0,8.0,12.5
PRImqKybQ8n,Kenyerere Sub County Hospital,2.0,Low/Moderate,,1.0,1.0,
IgrMpQRUx5y,Kericho County Referral Hospital,67.0,Critical,3.0,43.0,51.0,5.88235294117647
lqtFpfrMOcJ,Keringet Sub County Hospital,14.0,Very High,,4.0,6.0,
EqyJ3aErOqW,Kerio Health Centre,1.0,Low/Moderate,,1.0,1.0,
GqJwyzb70oA,Kerugoya County Refferal Hospital,10.0,High,,12.0,14.0,
sgKiVsxPcyB,Keumbu Sub County Hospital,15.0,Very High,,5.0,5.0,
r5bAjjkOcRq,Khalaba Health Centre,4.0,Low/Moderate,,2.0,6.0,
hbWUwbyiJhb,Khaunga Health centre,6.0,High,,,2.0,
TJnBh1U3GEs,Khunyangu Sub County Hospital,11.0,High,,20.0,23.0,
kyuG50xCh7R,Khwisero Level IV Hospital,2.0,Low/Moderate,,6.0,6.0,
fyiHrh4tOpQ,Kiamabara Health Centre,3.0,Low/Moderate,,1.0,1.0,
X3m67s9fYES,Kiambu County Referal Hospital,61.0,Critical,,33.0,37.0,
gUMUKtsdh8z,Kiamutugu Health Centre,4.0,Low/Moderate,,1.0,1.0,
ba63sP0ArOy,Kiandutu Health Centre,21.0,Severe,1.0,11.0,19.0,5.263157894736842
MxxUSfpmXEr,Kianjokoma Health Centre,4.0,Low/Moderate,,1.0,1.0,
fi4t3iRQ5Ng,Kianyaga Sub-County Hospital,8.0,High,1.0,2.0,5.0,20.0
bcUwAhP3wRu,Kiaruta Dispensary,1.0,Low/Moderate,,5.0,5.0,
E7Y4bV5AjJV,Kiasa Health Center,1.0,Low/Moderate,,11.0,12.0,
PZKXP2PYFKX,Kibera Community Health Centre (Amref),29.0,Severe,1.0,35.0,40.0,2.5
mi7ORwgRy3S,Kibera D.O. Dispensary,12.0,Very High,,5.0,5.0,
SXegfern6PF,Kibigori Dispensary,11.0,High,,9.0,9.0,
CbWO3Te8Tut,Kibirichia Sub-District Hospital,1.0,Low/Moderate,,3.0,3.0,
xlpkJEXcIDZ,Kibisi Dispensary,3.0,Low/Moderate,,,3.0,
tWQw1jmjWO4,Kibogo Dispensary,4.0,Low/Moderate,,10.0,10.0,
rVDOiFMpHlD,Kibugu Health Centre,5.0,Low/Moderate,,2.0,3.0,
WCjUg04KkUY,Kibung'a Sub County Hospital,1.0,Low/Moderate,,1.0,1.0,
dzNztOh9T5P,Kibwezi Sub County Hospital,18.0,Very High,,5.0,11.0,
F7WS5lx7cG9,Kiganjo Health Centre,4.0,Low/Moderate,,4.0,4.0,
GdJBEHyjtcF,Kigumo Sub County Hospital,4.0,Low/Moderate,,2.0,5.0,
bxheWBppb9H,Kihara Sub County Hospital,12.0,Very High,,13.0,14.0,
HVOJPKtJhsG,Kijabe (AIC) Hospital,14.0,Very High,,1.0,1.0,
IIw7XjguWks,Kijabe (AIC) Hospital Marira Medical Clinic,5.0,Low/Moderate,,9.0,9.0,
OQ9TVd3E10r,Kijani (Mirera) Dispensary,5.0,Low/Moderate,,1.0,2.0,
toOGtwnm0oz,Kijauri Sub County Hospital,14.0,Very High,,6.0,5.0,
L5vghcuxIpC,Kijawa Health Centre,4.0,Low/Moderate,,5.0,5.0,
ZbuU0YQiDug,Kikesa Health Centre,3.0,Low/Moderate,,1.0,1.0,
pjoG55x2KMq,Kikoko Mission Hospital,3.0,Low/Moderate,,1.0,1.0,
UrRsO2NsxHZ,Kikoneni Health Centre,2.0,Low/Moderate,,3.0,3.0,
HO8XXXER1ZS,Kikuyu (PCEA) Hospital,20.0,Severe,,8.0,8.0,
OjwX5IrpWkM,Kilala Health Centre,3.0,Low/Moderate,,4.0,4.0,
nyNZg4aC19J,Kilibwoni Health Centre,4.0,Low/Moderate,,1.0,1.0,
HVsXeh7EatU,Kilifi County Hospital,58.0,Critical,,18.0,24.0,
uGkRT5JzUwe,Kilili Health Centre,1.0,Low/Moderate,,1.0,1.0,
DdPmglUPme3,Kilingili Health Centre,7.0,High,,2.0,4.0,
HKuDiBH4yTb,Kilungu Sub County Hospital,15.0,Very High,,12.0,6.0,
OwA3FdxjmkQ,Kima Mission Hospital,1.0,Low/Moderate,,2.0,2.0,
XbRB4QvjEBy,Kimaeti Health centre,7.0,High,1.0,3.0,5.0,20.0
yUxuh0HkWnr,Kimalewa Health Centre,1.0,Low/Moderate,,1.0,1.0,
Y9qucizTmZG,Kimana Health Centre,17.0,Very High,,6.0,7.0,
ZAp1tGmL6oO,Kimbimbi Sub-County Hospital,34.0,Severe,,12.0,12.0,
Bs89THDd5QL,Kimilili Subcounty Hospital,20.0,Severe,,6.0,9.0,
KgRIBuqUqbj,Kiminini Cottage Mission Hospital,11.0,High,1.0,3.0,4.0,25.0
JBUB73WGzNi,Kimondi Forest Dispensary,1.0,Low/Moderate,,1.0,1.0,
p0zbkFwLKIu,Kimonge Health Centre,1.0,Low/Moderate,,4.0,4.0,
trxPkQIiUSK,Kina Dispensary,7.0,High,,4.0,4.0,
KT34EaG36YR,Kinango Sub County Hospital,16.0,Very High,,6.0,6.0,
aSPafr5E6SG,Kinasia Dispensary,1.0,Low/Moderate,,1.0,1.0,
vycaQ7VRJxH,Kineni Dispensary,4.0,Low/Moderate,,,1.0,
wEmj5Y6nGNJ,Kinondo Kwetu Community Clinic,9.0,High,,10.0,10.0,
F0Uf3SJ6y5k,Kinoru Dispensary,2.0,Low/Moderate,,2.0,2.0,
psJYcZgeJQ6,Kiobegi Dispensary (Bobasi),1.0,Low/Moderate,,2.0,2.0,
FWlciiBqhQn,Kiogoro Sub County Hospital,8.0,High,,6.0,6.0,
LPKh4nXw3jE,Kipingi Dispensary,2.0,Low/Moderate,,1.0,1.0,
rDsVgG318og,Kipkelion Sub County Hospital,7.0,High,,1.0,3.0,
OTu4xNrbdX0,Kipsonoi Health Centre,8.0,High,,,1.0,
bnQePNfUZB8,Kiptere Dispensary,11.0,High,,1.0,1.0,
jlIvgmGm0gR,Kipwastuiyo Health Centre,1.0,Low/Moderate,,,2.0,
l1J71xfA3v7,Kiria-Ini Mission Hospital,6.0,High,,7.0,8.0,
dzPtnXVHu7C,Kiritiri Health Centre,9.0,High,,8.0,9.0,
XIQZfo5zeey,Kisasi Health Centre (Kitui Rural),11.0,High,,1.0,3.0,
RztzXSmM6Zu,Kisau Sub County Hospital,3.0,Low/Moderate,,3.0,4.0,
YJtzYxZ8W75,Kisauni Health Centre,12.0,Very High,,6.0,6.0,
SAca0wPRzA8,Kisii Teaching And Referral Hospital (Level 6),50.0,Critical,8.0,11.0,19.0,42.10526315789473
CSFHkngjmkK,Kisiiki Health Centre,6.0,High,,1.0,2.0,
uBfCuhllvg3,Kisumu County Hospital,62.0,Critical,,64.0,64.0,
Lhf5atPasou,Kitalale Dispensary,6.0,High,1.0,1.0,2.0,50.0
zPojcAQtw2L,Kitale County Referral Hospital,109.0,Critical,1.0,54.0,62.0,1.6129032258064515
WqgsRsVlbaG,Kitengela GK Prison Dispensary,9.0,High,,3.0,5.0,
PHJHqpSpfRc,Kitengela Medical Services,18.0,Very High,,10.0,11.0,
AW4Fs3TsAtO,Kitengela Sub-County Hospital,93.0,Critical,,25.0,25.0,
f3XukP1v8uT,Kitere Health Centre,6.0,High,,3.0,3.0,
p6yj2NscPQ5,Kithimani Health Centre,10.0,High,,10.0,11.0,
MtUXQriAX6H,Kithimu Health Centre,4.0,Low/Moderate,,1.0,1.0,
G5ftbR0paKv,Kithyoko Health Centre,10.0,High,,1.0,1.0,
dtWdw8ogYzJ,Kitui County Referral Hospital,37.0,Severe,,6.0,7.0,
syMX95GoW0g,Kituka Dispensary,6.0,High,,6.0,6.0,
AuletUO24bE,Kitutu Chache North Sub County Referral Hospital,2.0,Low/Moderate,,4.0,6.0,
w0QBLXNdhK1,Kiumbu Health Centre,5.0,Low/Moderate,,1.0,1.0,
Og5UEnRkvyU,Kivaa Health Centre,7.0,High,,4.0,4.0,
CUebFxNlAzb,Kivaani Health Centre,1.0,Low/Moderate,,3.0,3.0,
ekQxVaIMErv,Kivuli Dispensary,5.0,Low/Moderate,,2.0,2.0,
WQRkoXjzOCr,Kiwamu Health Centre,1.0,Low/Moderate,,2.0,2.0,
FYGO2TZZWuq,Kiwandani Dispensary,4.0,Low/Moderate,,4.0,5.0,
xfNWSEyv3de,Kobodo Health Center,8.0,High,,5.0,5.0,
Q4XkYFvskeI,Kodiaga Prison Health Centre,20.0,Severe,,4.0,5.0,
KPgXAJQ4rkD,Kodingo Health Centre,4.0,Low/Moderate,,5.0,5.0,
KgZZAFbhdee,Koduogo Health Centre,5.0,Low/Moderate,,10.0,10.0,
XZwiXe6lGnE,Kogelo Dispensary,3.0,Low/Moderate,,18.0,18.0,
J645cFsNOCM,Koilot Health Centre,1.0,Low/Moderate,,1.0,1.0,
uXqhVeVab1Y,Koiwa Sub County Hospital,8.0,High,,2.0,2.0,
LYay7WMzdXz,Kokech Mirondo Health Center,1.0,Low/Moderate,,3.0,3.0,
DICdQoX6MX6,Kokuro Health Centre,2.0,Low/Moderate,,,2.0,
Eiae4BkyI7w,Kokwanyo Health Centre,4.0,Low/Moderate,,5.0,5.0,
tHIuPy0T8F8,Kolenyo Health Centre,4.0,Low/Moderate,,1.0,1.0,
iX9MCYrhHOP,Koloo Dispensary,3.0,Low/Moderate,,11.0,12.0,
UMrj6jMVGcj,Kolunga Health Centre,2.0,Low/Moderate,1.0,4.0,5.0,20.0
Cm5Cyjgr17X,Kolwal Dispensary,2.0,Low/Moderate,,1.0,,
WPhMyqa7tMP,Kombato Dispensary,5.0,Low/Moderate,,6.0,6.0,
tMymqzXY5dg,Kombewa County Referral Hospital,34.0,Severe,,42.0,43.0,
clZmNWCEkGG,Kome Health Center,1.0,Low/Moderate,1.0,,1.0,100.0
iIngX6G2Ezq,Kongoni Health Centre,4.0,Low/Moderate,,4.0,4.0,
f7VNgpLhVwW,Kongowea Health Centre,19.0,Severe,,4.0,7.0,
MQcFGwW1QsE,Kopanga Dispensary (CHAK),3.0,Low/Moderate,,5.0,4.0,
UF9HJO258Yp,Korogocho Health Centre,4.0,Low/Moderate,1.0,2.0,9.0,11.11111111111111
UnUk7uMZeBz,Koru Mission Health Centre,9.0,High,,3.0,3.0,
j6QLHcTeO6f,Korwenje Dispensary,2.0,Low/Moderate,,4.0,5.0,
guIhLrHfgZq,Kory Family HospitaI (Kimilili),1.0,Low/Moderate,,6.0,9.0,
KYUD8eEHcCn,Kosele Health Centre,1.0,Low/Moderate,1.0,1.0,2.0,50.0
DNnvCXUMH4v,Kowino Dispensary,5.0,Low/Moderate,,7.0,7.0,
tgRwAp3Oey9,Kunya Dispensary,3.0,Low/Moderate,,4.0,4.0,
kVf9NYAIaiL,Kunyak Dispensary,0.0,Low/Moderate,,1.0,1.0,
TAPp4w4qSDy,Kuoyo Kaila Health Centre,2.0,Low/Moderate,,1.0,1.0,
zeoRrDlbcNF,Kurangurik Health Centre,5.0,Low/Moderate,1.0,5.0,7.0,14.285714285714285
ZQBkmrdOpuC,Kuresoi Health Centre,1.0,Low/Moderate,,1.0,2.0,
wWCwq9j5JFU,Kutus Dispensary,8.0,High,,1.0,2.0,
gbQw8OQtjpj,Kwale Sub County Hospital,11.0,High,,2.0,2.0,
mzBw4T72sa5,Kwamo Health Center,3.0,Low/Moderate,,2.0,2.0,
kbdzFwfqYb8,Kwanza Sub County Hospital,9.0,High,1.0,6.0,12.0,8.333333333333332
vshyHFPS1Mo,Kware Dispensary,6.0,High,,,1.0,
FH1lPSOnK9z,Kwoyo Kodalo Dispensary,7.0,High,,3.0,3.0,
kUoL1ezN7NN,KYC Transmara,1.0,Low/Moderate,,4.0,4.0,
Qpyxl9nhTo8,Kyumbi Health centre,7.0,High,,4.0,4.0,
YZuzvi5zGPy,Kyuso Sub County Hospital,8.0,High,,4.0,4.0,
f1mpqnM6p8W,Laare Health Centre,7.0,High,,5.0,9.0,
MGXReb42dmA,Lambwe Health Centre,5.0,Low/Moderate,,5.0,5.0,
xMrLIAS6Y17,Lanet Health Centre,9.0,High,,15.0,15.0,
KyonjDmOEi9,Lang'ata Health Centre (Ruiru),18.0,Very High,,15.0,25.0,
dPEyAJaDVPX,Langalanga Sub County Hospital,20.0,Severe,2.0,10.0,14.0,14.285714285714285
m516aDmFUUI,Langata Subcounty Hospital (Mugumoini),26.0,Severe,,9.0,12.0,
QTbpZ8fdTZG,Langi Kawino Dispensary,1.0,Low/Moderate,,3.0,3.0,
Ku5nAnBOjpw,Langi Kodera Dispensary,2.0,Low/Moderate,,8.0,8.0,
QPi8HppUeQL,Lare Health Centre,7.0,High,,3.0,3.0,
v7AyMzU9144,Lari Level 4 Hospital,7.0,High,,2.0,2.0,
QW6vvfY5L0U,Lela community Health Centre,5.0,Low/Moderate,,3.0,3.0,
RmvqxZei2rD,Lemotit Dispensary,3.0,Low/Moderate,,2.0,2.0,
U6cuWLDIg1T,Lessos Comprehensive Health Centre,2.0,Low/Moderate,,4.0,4.0,
zKDQjMY6KLK,Lidha Dispensary,6.0,High,,4.0,4.0,
XedKlZAN2O9,Ligala Dispensary,6.0,High,1.0,6.0,7.0,14.285714285714285
AlQczmsgUJn,Ligega Health Centre,2.0,Low/Moderate,3.0,6.0,9.0,33.33333333333333
NE6kXJlu9lG,Lihanda Health Centre,4.0,Low/Moderate,,3.0,3.0,
EOwZKRgVff8,Likii Dispensary,3.0,Low/Moderate,,2.0,1.0,
GwLVDDMCfyU,Likindu Dispensary,3.0,Low/Moderate,,2.0,2.0,
bvUg2vPkLWw,Likoni Subcounty Hospital,33.0,Severe,,13.0,13.0,
AbSJUr5oge2,Likuyani Sub-County Hospital,2.0,Low/Moderate,,3.0,7.0,
DoFGg4toGRt,Limuru Health Centre,2.0,Low/Moderate,,7.0,7.0,
Y4WPy8CHdAl,Lipton Central Hospital,6.0,High,,5.0,5.0,
cydsug5htZ9,Live With Hope Dispensary,33.0,Severe,,48.0,48.0,
B9XQn7IBaMW,Loco Dispensary,14.0,Very High,,6.0,6.0,
IDGEt81zZin,Lodwar County Referral Hospital,74.0,Critical,,16.0,18.0,
Cx6s78Ev9QT,Loitokitok Sub County Hospital,32.0,Severe,,6.0,7.0,
aKjGXxIWmX3,Lokichar (RCEA) Health Centre,4.0,Low/Moderate,,3.0,4.0,
Qxt1FTtPDX9,Lolgorian Sub County Hospital,25.0,Severe,,,1.0,
ttSQ3WmIuow,Lolwe Health Centre,2.0,Low/Moderate,,2.0,2.0,
feqZZjDHYmo,Londiani Sub County Hospital,28.0,Severe,,8.0,11.0,
SuxAmnVfsiA,Longisa County Referral Hospital,24.0,Severe,2.0,9.0,7.0,28.57142857142857
qIGDrvFNv3H,Luanda Town Dispensary,7.0,High,,2.0,3.0,
QwmMZVZSkRy,Lugari Forest Dispensary,1.0,Low/Moderate,,1.0,1.0,
