organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Unknown_Outcome HV02-49,MOH 731 Net cohort_HEI_24 months HV02-50,transmission_rate
fqT44AXXEda,Embakasi Health Centre,12935.0,,,19.0,2.0,21.0,
wvzZZaYO0Fm,Embonga Health Centre,13543.0,,,1.0,,1.0,
ubYSAHlGbvb,Embu Level 5 Hospital,12004.0,,1.0,15.0,2.0,18.0,5.555555555555555
TeKLIwzizL1,Emining Health Centre,14446.0,,,5.0,,5.0,
arDVLu1shRK,Emuhaya Sub County Referral Hospital,15876.0,,,12.0,3.0,15.0,
KI0xDaiHbXY,Emurua Dikirr   Sub county Hospital,14452.0,,1.0,,,1.0,100.0
DkcS7mBduV7,Emusanda Health Centre,16762.0,,,2.0,3.0,5.0,
bdcsVP2hS8A,Emusire Sub County Hospital,16979.0,,,,2.0,2.0,
PnwtJbax3ac,Enabelbel Health Centre,14453.0,along Narok Nakuru road,,2.0,,2.0,
I4AiM5QGOvq,Endarasha Rural Health Centre,10170.0,,,3.0,,3.0,
CwoN2my0ByS,Endebess Sub- County Hospital,14455.0,,1.0,7.0,,8.0,12.5
ZQT01wKQqiS,Endiba Health Centre,13544.0,,,1.0,1.0,2.0,
UzyDMLPCc1K,Engashura Health Centre,14458.0,,1.0,5.0,,6.0,16.666666666666664
fS76SN2mDYs,Engineer County Hospital,10171.0,,,10.0,,10.0,
iOaejculBnN,Entarara Health Centre,14467.0,,,1.0,,1.0,
TebstKvirIl,Enzaro Health Centre,15879.0,OFF BOYANI- KIGADAHI JUNCTION,11.0,,,11.0,100.0
kNAqc0TjwXt,Esageri Health Centre,14477.0,Health Center,,3.0,,3.0,
YFxkxX3dyJ0,Esani Sub-County  Hospital,13548.0,,,4.0,,4.0,
WKpi4HTOfa6,Eshiabwali Health Centre,19899.0,,,,1.0,1.0,
rEKNga4CgFK,Eshikhuyu Dispensary,15882.0,,,3.0,,3.0,
ozud4J6eShX,Eshikulu Dispensary,17217.0,In South Wanga Division,,,1.0,1.0,
hVOEvLLuWx6,Eshimukoko Health Centre,16114.0,,,3.0,,3.0,
dAnPb1AZoKy,Eshinutsa Health Centre,16115.0,,,1.0,,1.0,
kH3yXjFQi6C,Esikulu Dispensary,20171.0,,,1.0,,1.0,
FHYf7mQFpOT,Etago Sub-county Hospital,13550.0,,,3.0,,3.0,
u5q6JCLA4SL,Ewaso Ngiro Health Centre,14485.0,,,2.0,1.0,3.0,
xxV4wmw5vPj,Ewuaso Kedong Health Centre,14486.0,,,,1.0,1.0,
dIQa6MENmm5,Fatima Health Centre (Lenkism),14493.0,,,1.0,,1.0,
dGGuPEx55Jl,FHOK - Family Care Medical Centre - Nakuru,14177.0,,,5.0,,5.0,
obZQ6vqwYzN,Fitc Dispensary,14498.0,,,8.0,1.0,9.0,
BlfBnS88vK8,Flamingo Medical Centre,14551.0,,,1.0,2.0,3.0,
nPUGVm6SU9s,Flax Dispensary,14499.0,,,2.0,,2.0,
Q9N0D3AoEOJ,Forttenan Sub County Hospital,14501.0,,,3.0,,3.0,
rvY6Idb4l9H,Fremo Medical Centre,18612.0,,1.0,,,1.0,100.0
NhqbIqtewwY,Future Life Community Nursing  and Maternity Home,17522.0,,,3.0,,3.0,
OjfMUlTYbK1,Gachege Dispensary,10194.0,Ministry of Health,,1.0,,1.0,
lHuuAQl16rT,Gachororo Health Centre,18608.0,,,7.0,,7.0,
tCDh3rEYIVj,Gachuriri Dispensary,12023.0,,,,1.0,1.0,
fvnBMGJT2Sb,Gaichanjiru Hospital,10199.0,,,3.0,,3.0,
wpzFaD5rUsJ,Gakawa Dispensary,10200.0,,2.0,,,2.0,100.0
LcbKtIpSxFP,Ganda Dispensary,11382.0,,,,1.0,1.0,
OZzaTu0NyK2,Ganze Health Centre,11383.0,,,1.0,,3.0,
ycopTf0WqXO,Garbatulla Sub County Hospital,12029.0,,1.0,,,1.0,100.0
eOwcPUHIpgE,Garissa Level 5 Teaching and Referral Hospital,13346.0,,,2.0,1.0,3.0,
JfanPlPxNKE,Gategi Health Centre,16463.0,Health centre,,3.0,,3.0,
ZcNH8iNquIL,Gathambi Health Centre,10213.0,,,1.0,,1.0,
